Product Collection,Code Name,Status,Launch Date,Bus Speed,TDP,Supports Overclocking,Embedded Options Available,Datasheet,# of DIMMs per channel,# of Displays Supported ‡,PCI Support,PCI Express Revision,PCI Express Configurations ‡,Max # of PCI Express Lanes,# of USB Ports,USB Revision,USB 3_0,USB 2_0,Max # of SATA 6_0 Gb/s Ports,RAID Configuration,Integrated LAN,Supported Processor PCI Express Port Configurations,Package Size,Intel® Optane™ Memory Supported ‡,Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Intel® vPro™ Platform Eligibility ‡,Intel® ME Firmware Version,Intel® HD Audio Technology,Intel® Rapid Storage Technology,Intel® Rapid Storage Technology enterprise,Intel® Standard Manageability,Intel® Stable Image Platform Program (SIPP),Intel® Rapid Storage Technology for PCI Storage,Intel® Smart Sound Technology,Intel® Platform Trust Technology (Intel® PTT),Intel® Trusted Execution Technology ‡,Intel® Boot Guard,USB Configuration,Integrated Wireless‡,Supported Processor PCI Express Port Revision,Intel® Rapid Start Technology,Lithography,Intel® Clear Video Technology,Product Brief,Integrated Graphics ‡,Intel® Smart Response Technology,Additional Information URL,Use Conditions,Graphics Output,Macrovision* License Required,Total # of SATA Ports,Integrated SAS ports,PCIe* Uplink,TCASE,Intel® Remote PC Assist Technology,Intel® Quiet System Technology,Intel® Matrix Storage Technology,Integrated Intel® QuickAssist Technology,Intel® Node Manager,Intel® Smart Connect Technology,Anti-Theft Technology,Expected Discontinuance,Supported FSBs,FSB Parity,Integrated IDE,Max CPU Configuration,Intel® Quick Resume Technology,Intel® AC97 Technology,Intel® I/O Acceleration Technology,Low Halogen Options Available,Recommended Customer Price
Intel® 300 Series Chipsets,Products formerly Coffee Lake,Launched,Q4'18,8 GT/s DMI3,6 W,No,No,View now,2,3,No,3.0,"x1, x2, x4",20,14,3.0/2.0,8,Up to 14,6,"PCIe* 0,1,5 / SATA 0,1,5,10",Integrated MAC,1x16,23mm x 24mm,Yes,Yes,No,11,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® 300 Series Chipsets,Products formerly Coffee Lake,Launched,Q2'18,8 GT/s DMI3,6 W,No,No,View now,2,3,,3.0,"x1, x2, x4",12,12,3.1/2.0,,,6,,Integrated MAC,1x16,,Yes,Yes,No,12,Yes,,,,,,Yes,Yes,,Yes,6 Total USB 3.1 Ports - Up to 4 USB 3.1 Gen 2 Ports - Up to 6 USB 3.1 Gen 1 Ports 12 USB 2.0 Ports,Intel® Wireless-AC MAC,3,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® 300 Series Chipsets,Products formerly Coffee Lake,Launched,Q2'18,8 GT/s,6 W,No,No,View now,2,3,,3.0,"x1, x2, x4",20,14,3.1/2.0,,,6,"PCIe* 0,1,5 / SATA 0,1,5,10",Integrated MAC,1x16,,Yes,Yes,No,12,Yes,Yes,,,,Yes,Yes,Yes,,Yes,8 Total USB 3.1 Ports  - Up to 4 USB 3.1 Gen 2 Ports  - Up to 8 USB 3.1 Gen 1 Ports 14 USB 2.0 Ports,Intel® Wireless-AC MAC,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® 300 Series Chipsets,Products formerly Coffee Lake,Launched,Q2'18,5 GT/s DMI2,6 W,No,Yes,View now,1,2,,2.0,"x1, x2, x4",6,10,3.1/2.0,,,4,,Integrated MAC,1x16,,No,Yes,,12,Yes,Yes,,,,,No,Yes,,Yes,4 USB 3.1 Gen 1 Ports 10 USB 2.0 Ports,Intel® Wireless-AC MAC,3,,14 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® 300 Series Chipsets,Products formerly Coffee Lake,Launched,Q2'18,8 GT/s DMI3,6 W,No,Yes,View now,2,3,,3.0,"x1, x2, x4",24,14,3.1/2.0,,,6,,Integrated MAC,1x16 or 2x8 or 1x8+2x4,,Yes,Yes,Yes,12,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 Total USB 3.1 Ports - Up to 6 USB 3.1 Gen 2 Ports - Up to 10 USB 3.1 Gen 1 Ports 14 USB 2.0 Ports,Intel® Wireless-AC MAC,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® 300 Series Chipsets,Products formerly Coffee Lake,Launched,Q4'18,8 GT/s,6 W,Yes,No,View now,2,3,,3.0,"x1, x2, x4",24,14,3.1/2.0,,,6,,Integrated MAC,1x16 or 2x8 or 1x8+2x4,,Yes,Yes,No,12,Yes,Yes,,,,Yes,Yes,Yes,,Yes,10 Total USB 3.1 Ports - Up to 6 USB 3.1 Gen 2 Ports - Up to 10 USB 3.1 Gen 1 Ports 14 USB 2.0 Ports,Intel® Wireless-AC MAC,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® 300 Series Chipsets,Products formerly Coffee Lake,Launched,Q4'17,8 GT/s,6 W,Yes,No,View now,2,3,No,3.0,"x1, x2, x4",24,14,3.0/2.0,Up to 10,Up to 14,6,"PCIe* 0,1,5 / SATA 0,1,5,10",Integrated MAC,1x16 or 2x8 or 1x8+2x4,23mm x 24mm,Yes,Yes,No,11,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® 300 Series Chipsets,Products formerly Coffee Lake,Launched,Q2'18,8 GT/s,3 W,Yes,Yes,View now,2,3,NO,3.0,"x1, x2, x4",16,14,3.1/2.0,,,4,0/1/5/10,Integrated MAC,,25mm x 24mm,Yes,,No,12,Yes,Yes,No,,,,Yes,,No,,8 Total USB 3.1 Ports - Up to 4 USB 3.1 Gen 2 Ports - Up to 8 USB 3.1 Gen 1 Ports 14 USB 2.0 Ports,Intel® Wireless-AC MAC,,,14 nm,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® 300 Series Chipsets,Products formerly Coffee Lake,Launched,Q2'18,8 GT/s DMI3,3 W,Yes,Yes,View now,2,3,NO,3.0,"x1, x2, x4",20,14,3.1/2.0,,,4,0/1/5/10,Integrated MAC,,25mm x 24mm,,Yes,Yes,12,Yes,Yes,Yes,,Yes,,Yes,,Yes,,10 Total USB 3.1 Ports - Up to 6 USB 3.1 Gen 2 Ports - Up to 10 USB 3.1 Gen 1 Ports 14 USB 2.0 Ports,Intel® Wireless-AC MAC,,,14 nm,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® 200 Series Chipsets,Products formerly Kaby Lake,Launched,Q2'17,8 GT/s DMI3,6 W,Yes,No,View now,2,,No,3.0,"x1, x2, x4",24,14,3.0/2.0,Up to 10,Up to 14,8,"0, 1, 5, 10",Integrated MAC,,23mm x 24mm,Yes,Yes,,11,Yes,Yes,,No,No,Yes,,,,,,,,,22 nm,,View now,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® 200 Series Chipsets,Products formerly Kaby Lake,Launched,Q1'17,8 GT/s DMI3,6 W,Yes,No,View now,2,3,No,3.0,"x1, x2, x4",24,14,3.0/2.0,Up to 10,Up to 14,6,"PCIe* 0,1,5 / SATA 0,1,5,10",Integrated MAC,1x16 or 2x8 or 1x8+2x4,23mm x 24mm,Yes,Yes,No,11,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,,,,,22 nm,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® 200 Series Chipsets,Products formerly Kaby Lake,Launched,Q1'17,8 GT/s DMI3,6 W,No,No,View now,2,3,No,3.0,"x1, x2, x4",24,14,3.0/2.0,Up to 10,Up to 14,6,"PCIe* 0,1,5 / SATA 0,1,5,10",Integrated MAC,1x16 or 2x8 or 1x8+2x4,23mm x 24mm,Yes,Yes,Yes,11,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,22 nm,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® 200 Series Chipsets,Products formerly Kaby Lake,Launched,Q1'17,8 GT/s DMI3,6 W,No,No,View now,2,3,No,3.0,"x1, x2, x4",20,14,3.0/2.0,8,Up to 14,6,"PCIe* 0,1,5 / SATA 0,1,5,10",Integrated MAC,1x16,23mm x 24mm,Yes,Yes,No,11,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,,,,,22 nm,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® 200 Series Chipsets,Products formerly Kaby Lake,Launched,Q1'17,8 GT/s DMI3,6 W,No,No,View now,2,3,No,3.0,"x1, x2, x4",14,14,3.0/2.0,8,Up to 14,6,N/A,Integrated MAC,1x16,23mm x 24mm,Yes,Yes,No,11,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,22 nm,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® 200 Series Chipsets,Products formerly Kaby Lake,Launched,Q1'17,8 GT/s DMI3,6 W,No,No,View now,2,3,No,3.0,"x1, x2, x4",12,12,3.0/2.0,6,Up to 12,6,N/A,Integrated MAC,1x16,23mm x 24mm,Yes,Yes,No,11,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,,,,,22 nm,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® 100 Series Chipsets,Products formerly Skylake,Launched,Q3'15,8 GT/s,6 W,Yes,No,View now,2,3,No,3.0,"x1, x2, x4",20,14,3.0/2.0,Up to 10,Up to 14,6,"PCIe* 0,1,5 / SATA 0,1,5,10",Integrated MAC,1x16 or 2x8 or 1x8+2x4,23mm x 23mm,No,Yes,No,11,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,,,,,22 nm,,,,Yes,View now,,,,,,,,,,,,,,,,,,,,,,,,
Intel® 100 Series Chipsets,Products formerly Skylake,Launched,Q3'15,8 GT/s DMI3,6 W,No,Yes,View now,2,3,No,3.0,"x1, x2, x4",20,14,3.0/2.0,Up to 10,Up to 14,6,"PCIe* 0,1,5 / SATA 0,1,5,10",Integrated MAC,1x16 or 2x8 or 1x8+2x4,23mm x 23mm,No,Yes,Yes,11,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,22 nm,,,,Yes,,"Industrial Commercial Temp, Embedded Broad Market Commercial Temp, PC/Client/Tablet",,,,,,,,,,,,,,,,,,,,,,,
Intel® 100 Series Chipsets,Products formerly Skylake,Launched,Q3'15,8 GT/s,6 W,No,No,View now,2,3,No,3.0,"x1, x2, x4",16,14,3.0/2.0,Up to 8,Up to 14,6,"PCIe* 0,1,5 / SATA 0,1,5,10",Integrated MAC,1x16,23mm x 23mm,No,Yes,No,11,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,,,,,22 nm,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® 100 Series Chipsets,Products formerly Skylake,Launched,Q3'15,8 GT/s,6 W,No,No,View now,2,3,No,3.0,"x1, x2, x4",10,14,3.0/2.0,Up to 8,Up to 14,6,N/A,Integrated MAC,1x16,23mm x 23mm,No,Yes,No,11,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,,,,,22 nm,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® 100 Series Chipsets,Products formerly Skylake,Launched,Q3'15,8 GT/s,6 W,No,No,View now,2,3,No,3.0,"x1, x2, x4",8,12,3.0/2.0,Up to 6,Up to 12,6,N/A,Integrated MAC,1x16,23mm x 23mm,No,Yes,No,11,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,,,,,22 nm,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® 100 Series Chipsets,Products formerly Skylake,Launched,Q3'15,5 GT/s DMI2,6 W,No,Yes,View now,1,2,No,2.0,"x1, x2, x4",6,10,3.0/2.0,Up to 4,Up to 10,4,N/A,Integrated MAC,1x16,23mm x 23mm,No,Yes,No,11,Yes,Yes,No,No,No,No,No,Yes,No,Yes,,,,,22 nm,,,,No,,"Industrial Commercial Temp, Embedded Broad Market Commercial Temp, PC/Client/Tablet",,,,,,,,,,,,,,,,,,,,,,,
